log_id,user_id,period_id,type_id,date,time,food_name,food_group,quantity,calories,food_national,food_price
1,u000004,p001,T00001,2021-11-23,8:00:00,กาแฟดำ หวานน้อย,กาแฟ,1,50,นานาชาติ,50
2,u000002,p001,T00002,2021/11/23,8:10:00,ไข่เจียว,กับข้าว,1,155,ไทย,30
3,u000002,p001,T00001,2021/11/23,11:10:00,น้ำเต้าหู้,นม,1,54,ไทย,10
4,u000001,p002,T00002,2021/11/23,12:00:00,บะหมี่ไก่,ก๋วยเตี๋ยว,1,462,ไทย,45
5,u000004,p002,T00002,2021-11-23,12:00:00,ก๋วยเตี๋ยวไก่,ก๋วยเตี๋ยว,1,428,ไทย,45
6,u000002,p002,T00002,2021/11/23,13:10:00,ก๋วยเตี๋ยวไก่,ก๋วยเตี๋ยว,1,428,ไทย,50
7,u000004,p003,T00004,2021-11-23,16:00:00,ข้าวต้มมัด,ของหวาน,1,285,ไทย,20
8,u000004,p004,T00002,2021-11-23,17:00:00,เกี๊ยวหมู,ของว่าง,1,90,ไทย,45
9,u000002,p005,T00002,2021/11/23,19:10:00,ยำวุ้นเส้น,ยำ,1,250,ไทย,50
10,u000002,p002,T00001,2021/11/23,13:20:00,ชานมไข่มุก,ชา,1,315,ไต้หวัน,60
11,u000001,p001,T00002,2021/11/23,8:30:00,ข้าวมันไก่,ข้าว,1,618,ไทย,50
12,u000001,p001,T00001,2021/11/23,8:30:00,กาแฟอเมริกาโน่ (ไม่หวาน),กาแฟ,1,0,นานาชาติ,40
13,u000001,p002,T00002,2021/11/23,12:30:00,บะหมี่แห้งลูกชิ้นปลา,ก๋วยเตี๋ยว,1,370,ไทย,50
14,u000001,p001,T00002,2021/11/24,8:30:00,ข้าวราดแกงเขียวหวาน,ข้าว,1,479,ไทย,40
15,u000001,p001,T00001,2021/11/24,8:30:00,กาแฟอเมริกาโน่ (ไม่หวาน),กาแฟ,1,0,นานาชาติ,40
16,u000002,p001,T00002,2021/11/24,8:30:00,ข้าวเหนียวหมูปิ้ง,ข้าว,1,580,ไทย,25
17,u000004,p001,T00001,2021-11-24,9:00:00,ชามะนาว,ชา,1,100,ไทย,45
18,u000001,p002,T00002,2021/11/24,12:00:00,บะหมี่ไก่,ก๋วยเตี๋ยว,1,462,ไทย,45
19,u000001,p002,T00001,2021/11/24,12:00:00,โค้กซีโร่,น้ำอัดลม,1,0,นานาชาติ,12
20,u000004,p002,T00002,2021-11-24,12:10:00,ข้าวกะเพราไก่,ข้าว,1,630,ไทย,45
21,u000002,p002,T00002,2021/11/24,12:30:00,ก๋วยเตี๋ยวหมูต้มยำ,ก๋วยเตี๋ยว,1,300,ไทย,45
22,u000002,p003,T00001,2021/11/24,13:30:00,ชานม,ชา,1,300,ไต้หวัน,75
23,u000004,p003,T00004,2021-11-24,14:00:00,ข้าวต้มมัด,ของหวาน,1,285,ไทย,20
